Episode;Quote;Author;Who said it
1�10, The Popular Kids;Unfortunately, a super-abundance of dreams is paid for by a growing potential for nightmares.;Sir Peter Ustinov;Gideon
1�10, The Popular Kids;Ideologies separate us. Dreams and anguish bring us together.;Eugene Ionesco;Gideon
1�11, Blood Hungry;The bitterest tears shed over graves are for words left unsaid and deeds left undone.;Harriet Beecher Stowe;Gideon
1�12, What Fresh Hell?;Evil is always unspectacular and always human. And shares our bed�and eats at our table.;W.H. Auden;Gideon
1�12, What Fresh Hell?;Measure not the work until the day's out and the labor done.;Elizabeth Barrett Browning;Gideon
1�13, Poison;What is food to one is to others bitter poison.;Lucretious;Gideon
1�13, Poison;Before you embark on a journey of revenge, dig two graves.;Confucius;Gideon
1�14, Riding the Lightning;Who so sheddeth man's blood by man shall his blood be shed.;Genesis 9:6;Gideon
1�14, Riding the Lightning;What we do for ourselves dies with us. What we do for others and the world, remains and is immortal.;Albert Pine � attributed to Pine, but actually by Mason Albert Pike, from his book �Ex Corde Locutiones: Words from the Heart Spoken of His Dead Brethren� (Google Books link);Gideon
1�15, Unfinished Business;It is those we live with and love and should know who elude us.;Norman Maclean;Gideon
1�15, Unfinished Business;Who in his mind has not probe the dark water?;East from Eden John Steinbeck (here used in a puzzle by the Keystone Killer);(read by) Reid
1�15, Unfinished Business;In order for the light to shine so brightly, the darkness must be present.;Sir Francis Bacon (here used in a puzzle by The Keystone Killer and in Max Ryan's book on page 184).;(read by) Max Ryan
1�15, Unfinished Business;In the end, it's not the years in your life that count. It's the life in your years.;Abraham Lincoln;Elle
1�16, The Tribe;The individual has always had to struggle to keep from being overwhelmed by the tribe.;Friedrich Nietzsche;Hotch
1�17, A Real Rain;Murder is unique in that it abolishes the party it injures, so that society must take the place of the victim, and on his behalf demand atonement or grant forgiveness.;W.H. Auden;Gideon
1�17, A Real Rain;It is better to be violent if there is violence in our hearts than to put on the cloak of non-violence to cover impotence.;Mahatma Gandhi;Gideon
1�17, A Real Rain;I object to violence because when it appears to do good, the good is only temporary. The evil it does is permanent.;Mahatma Gandhi;Hotch
1�18, Somebody's Watching;A photograph is a secret about a secret. The more it tells you, the less you know.;Diane Arbus;Gideon
1�18, Somebody's Watching;An American has no sense of privacy. He does not know what it means. There is no such thing in the country.;George Bernard Shaw;Gideon
1�19, Machismo;Other things may change us, but we start and end with family.;Anthony Brandt;Hotch
1�19, Machismo;The house does not rest on the ground, but upon a woman.;Mexican proverb;Hotch
1�20, Charm and Harm;There are some that only employ words for the purpose of disguising their thoughts.;Voltaire;Gideon
1�20, Charm and Harm;We are so accustomed to disguise ourselves to others, that in the end, we become disguised to ourselves.;Fran�ois de la Rochefoucauld;Gideon
1�21, Secrets and Lies;Whoever undertakes to set himself up as judge in the field of truth and knowledge is shipwrecked by the laughter of the gods.;Albert Einstein;Gideon
1�21, Secrets and Lies;In a time of universal deceit, telling the truth is a revolutionary act.;George Orwell;Gideon
1�22, The Fisher King (1);No man needs a vacation so much as the man who has just had one.;Elbert Hubbard;Gideon
3�02, In Name and Blood;Let your heart feel for the afflictions and distress of everyone.;George Washington;Hotch
3�03, Scared to Death;He who controls others may be powerful but he who has mastered himself is mightier still.;Philosopher Lao Tzu;Hotch
3�03, Scared to Death;You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You must do the thing which you think you cannot do.;Eleanor Roosevelt;Hotch
3�04, Children of the Dark;In the city, crime is taken as emblematic of class and race. In the suburbs though it's intimate and psychological resistant to generalization a mystery of the individual's soul.;Barbara Ehrenreich;Prentiss
3�05, Seven Seconds;Nothing is easier than to denounce the evil doer Nothing more difficult than understanding him.;Fyodor Dostoevsky;Hotch
3�05, Seven Seconds;Fairy tales do not tell children that dragons exist. Children already know that dragons exist. Fairy tales tell children that dragons can be killed.;G.K. Chesterton;Hotch
3�06, About Face ;Now what else is the whole life of mortals, but a sort of comedy in which the various actors, disguised by various costumes and masks, walk on and play each ones part until the manager walks them off the stage?;Erasmus;Hotch
3�07 Identity;An earthly kingdom cannot exist without inequality of persons. Some must be free, some serfs, some rulers, some subjects.;Martin Luther;Rossi
3�08 Lucky;Fantasy abandoned by reason produces impossible monsters.;Francisco Goya;Morgan
3�08 Lucky;God sends meat and the devil sends cooks.;Thomas Deloney;Morgan
3�09 Penelope;Love all. Trust a few. Do wrong to none.;William Shakespeare;Garcia
3�10 True Night;Superman is, after all, an alien life form. He's simply the acceptable face of invading realities.;Clive Barker;Reid
3�10 True Night;The noir hero is a knight in blood caked armor. He's dirty and he does his best to deny the fact that he's a hero the whole time.�;Frank Miller;Garcia
3�11 Birthright;It doesn't matter who my father was, it matters who I remember he was.;Anne Sexton;Hotch
3�11 Birthright;A simple child that lightly draws it's breath and feels its life in every limb. What should it know of death?;Wordsworth;JJ
3�12 3rd Life;No man or woman who tries to pursue an ideal in his or her own way is without enemies.;Daisy Bates;Hotch
3�12 3rd Life;It is a wise father that knows his own child.;William Shakespeare;Hotch
3�13 Limelight;I know indeed what evil I intend to do, but stronger than all my afterthoughts is my fury�fury that brings upon mortals the greatest evils.;Euripides;Rossi
3�13 Limelight;For we pay a price for everything we get or take in this world and although ambitions are well worth having, they are not to be cheaply won.;Lucy Maud Montgomery;Rossi
3�14 Damaged;�within the core of each of us is the child we once were. This child constitutes the foundation of what we have become, who we are, and what we will be.;Neuroscientist, Dr. R. Joseph;Rossi
3�14 Damaged;There is no formula for success except perhaps an unconditional acceptance of life and what it brings.;Arthur Rubinstein;Hotch
3�15 A Higher Power;There is no refuge from confession but suicide and suicide is confession.;Daniel Webster;Rossi
3�15 A Higher Power;The most authentic thing about us is our capacity to create, to overcome, to endure, to transform, to love and to be greater than our suffering.;Ben Okri;Prentiss
3�16 Elephant's Memory;A sad soul can kill you quicker, far quicker, than a germ.;John Steinbeck;Reid
3�16 Elephant's Memory;We cross our bridges when we come to them and burn them behind us, with nothing to show for our progress except a memory of the smell of smoke, and a presumption that once our eyes watered.;Tom Stoppard;Reid
3�17 In Heat;There are no secrets better kept than the secrets that everybody guesses.;George Bernard Shaw;JJ
3�17 In Heat;If we knew each other's secrets, what comforts we should find.;John Churton Collins;JJ
