Episode;Quote;Author;Who said it
6�18 Lauren;The secret to getting away with lying is believing with all your heart, that goes for lying to yourself even moreso than lying to another.;Elizabeth Bear;Prentiss
6�18 Lauren;People will believe a big lie sooner than a little one, and if you repeat it frequently enough, people will sooner or later believe it.;Walter Langer;JJ
6�19 With Friends Like These�;The old faiths light their candles all about, but burly truth comes by and puts them out.;Lizette Reese;Reid
6�19 With Friends Like These�;It is not his enemy or foe that lures him to evil ways.;Siddharta Buddha;Morgan
6�20 Hanley Waters;Man, when he does not grieve, hardly exists.;Antonio Porchia;Morgan
6�21 The Stranger;Sometimes human places create inhuman monsters.;Stephen King;Hotch
6�21 The Stranger;Every journey into the past is complicated by delusions, false memories, false naming of real events.;Adrienne Rich;Seaver
6�22 Out of the Light;Of this alone, even god is deprived, the power of making things that are past never to have been.;Agathon;Rossi
6�22 Out of the Light;Bring the past only if you're going to build from it.;Dom�nico Cieri Estrada;Hotch
6�23 Big Sea;The sea has never been friendly to man. At most it has been the accomplice of human restlessness.;Joseph Conrad;Rossi
6�23 Big Sea;We are tied to the ocean. And when we go back to the sea, whether it is to sail or to watch � we are going back from whence we came.;John F. Kennedy;Morgan
6�24 Supply & Demand;And yet to every bad there's a worse.;Thomas Hardy;Hotch
6�24 Supply & Demand;What lies in our power to do, lies in our power not to do.;Aristotle;Rossi
7�01 It Takes a Village;The past cannot be cured.;Queen Elizabeth I;JJ
7�01 It Takes a Village;I do solemnly swear that I will support and defend the Constitution of the United States against all enemies, foreign and domestic that I will bear true faith and allegiance to the same that I take this obligation freely, without any mental reservation or purpose of evasion and that I will well and faithfully discharge the duties of the office on which I am about to enter. So help me God.;Unknown (FBI oath of office);Prentiss
7�02 Proof;If it is a miracle, any sort of evidence will answer. But if it is a fact, proof is necessary.;Mark Twain;Reid
7�02 Proof;Nothing inspires forgiveness quite like revenge.;Scott Adams;Rossi
7�03Dorado Falls;Men are not prisoners of fate, but only prisoners of their own minds.;Franklin Delano Roosevelt;Reid
7�03Dorado Falls;We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.;Orson Welles;Rossi
7�04 Painless;You may leave school, but it never leaves you.;Andy Partridge;Reid
7�04 Painless;Pain is the breaking of the shell that encloses your understanding.;Khalil Gibran;Hotch
7�05From Childhood's Hour;From childhood's hour I have not been as others were I have not seen as others saw.;Edgar Allan Poe;Reid
7�05From Childhood's Hour;All things truly wicked start from an innocence.;Ernest Hemingway;Rossi
7�06 Epilogue;To die is poignantly bitter, but the idea of having to die without having lived is unbearable.;Erich Fromm;Rossi
7�06 Epilogue;The timing of death, like the ending of a story, gives a changed meaning to what proceeded it.;Mary Catherine Bateson;Rossi
7�07 There's No Place Like Home;For the man sound in body and serene in mind there is no such thing as bad weather, every day has its beauty and storms which whip the blood do but make it pulse more vigorously.;George Gissing;Hotch
7�07 There's No Place Like Home;Adversity is like a strong wind. It tears away from us all but the things that cannot be torn, so that we see ourselves as we truly are.;Arthur Golden;JJ
7�07 There's No Place Like Home;Hope is faith holding out its hand in the dark.;George Iles;Garcia
7�08 Hope;Find a place inside where there�s joy, and the joy will burn out the pain.;Joseph Campbell;Garcia
7�08 Hope;We are each on our own journey. Each of us is on our very own adventure encountering all kinds of challenges, and the choices we make on that adventure will shape us as we go these choices will stretch us, test us and push us to our limit and our adventure will make us stronger then we ever know we could be.;Aamnah Akram;Garcia
7�09 Self-Fulfilling Prophecy;Things do not change. We change.;Henry David Thoreau;Morgan
7�09 Self-Fulfilling Prophecy;Beware, so long as you live, of judging men by their outward appearance.;Jean de La Fountaine;Morgan
7�10 The Bittersweet Science;Everybody wants to go to heaven, but nobody wants to die.;Joe Louis;Hotch
7�10 The Bittersweet Science;Some of us think holding on makes us strong but sometimes it is letting go.;Hermann Hesse;Hotch
7�11 True Genius;Three can keep a secret, if two of them are dead. ;Benjamin Franklin;Morgan
7�11 True Genius;There is no greater sorrow than to recall happiness in times of misery.;Dante Alighieri;Reid
7�12 Unknown Subject;We do not suffer from the shock of our trauma, but we make out of it what suits our purposes.;Alfred Adler;Hotch
7�12 Unknown Subject;All the art of living lies in a fine mingling of letting go and holding on.;Henry Ellis;Prentiss
7�13 Snake Eyes;At the gambling table, there are no fathers and sons.;Chinese proverb;Hotch
7�13 Snake Eyes;A gambler with a system must be, to a greater or lesser extent, insane.;George Augustus Sala;Rossi
7�14 Closing Time;For trust not him that hath once broken faith.;William Shakespeare;Hotch
7�14 Closing Time;You may be deceived if you trust too much, but you will leave in torment if you don't trust enough.;Frank Crane;Hotch
7�15 The Thin LIne;Equality may perhaps be a right, but no power on earth can ever turn it into a fact.;Honore de Balzac;Morgan
7�15 The Thin LIne;I'm for truth no matter who tells it. I'm for justice no matter who it's for or against.;Malcolm X;Prentiss
7�16 A Family Affair;Where there's anger, there is always pain underneath.;Eckhart Tolle;Morgan
7�16 A Family Affair;Live so that when your children think of fairness and integrity, they think of you.;H. Jackson Brown, Jr.;J.J.
7�17 I Love You Tommy Brown;Love is giving someone the ability to destroy you, but trusting them not to.;Unknown;Morgan
7�17 I Love You Tommy Brown;For every good reason there is to lie, there is a better reason to tell the truth.;Bo Bennett;Morgan
7�18 Foundation;Memory is a complicated thing, a relative to truth but not it's twin.;Barbara Kingsolver;Prentiss
7�18 Foundation;Nothing fixes a thing so intensely in the memory as the wish to forget it.;Michel de Montaigne;Morgan
7�19 Heathridge Manor;�We are each our own devil, and we make this world our hell.�;Oscar Wilde;Prentiss
7�19 Heathridge Manor;All that we see or seem, is but a dream within a dream.;Edgar Allen Poe;Hotch
7�20 The Company;Worse than telling a lie is spending your whole life staying true to a lie.;Robert Brault;Morgan
7�21 Divining Rod;�Sooner strangle an infant in its cradle than nurse unacted desires.�;William Blake;Hotch
7�21 Divining Rod;It is only in love and murder that we still remain sincere.;Friedrich D�rrenmatt;Prentiss
7�22 Profiling 101;To the living we owe respect, but to the dead we owe only the truth.;Voltaire;Rossi
7�22 Profiling 101;The only thing necessary for the triumph of evil is for the good men to do nothing.;Edmund Burke;Rossi
7�23 Hit;Fear is met and destroyed with courage.;John F. Bell;JJ
7�24 Run;I've always heard every ending is also a new beginning, we just don't know it at the time, I'd like to believe that's true.;Emily Prentiss;Prentiss
8�01 The Silencer;As I grow older, I pay less attention to what men say. I just watch what they do.;Andrew Carnegie;Hotch
8�01 The Silencer;A man is known by the silence he keeps.;Oliver Herford;Hotch
8�02 The Pact;Evil is always devising more corrosive misery for man's restless need to exact revenge out of his hate.;Ralph Steadman;Rossi
8�02 The Pact;If you win, say nothing. If you lose, say less.;Paul Brown;Rossi
8�03Through The Looking Glass;Behavior is the mirror in which everyone shows their true image.;Johann Wolfgang von Goethe;JJ
8�03Through The Looking Glass;One of the deep secrets of life is that all that is really worth the doing is what we do for others.;Lewis Carroll;Hotch
8�04 God Complex;When a doctor does go wrong, he's the first of criminals. He has the nerve and he has knowledge.;Sir Arthur Conan Doyle;Reid
8�04 God Complex;Body and soul cannot be separated for purposes of treatment, for they are one and indivisible. Sick minds must be healed as well as sick bodies.;Dr. Jeff Miller;JJ
8�05The Good Earth;I became insane, with long intervals of horrible sanity.;Edgar Allan Poe;Reid
8�05The Good Earth;Show me your garden and I shall tell you who you are.;Alfred Austin;JJ
8�06 The Apprenticeship;Better than a thousand days of diligent study, is one day with a great teacher.;Japanese proverb;Morgan
8�06 The Apprenticeship;The greatest good you can do for another, is not to share your own riches, but to reveal to him, his own.;Benjamin Disraeli;Reid
8�07 The Fallen;You never find yourself until you face the truth.;Pearl Bailey;Rossi
8�07 The Fallen;I am not concerned that you have fallen. I am concerned that you arise.;Abraham Lincoln;Rossi
8�08The wheels on the bus;I'm not afraid of death. It's the stake one puts up in order to play the game of life.;Jean Giraudoux;Hotch
8�08The wheels on the bus;It's easier to build strong children than to repair broken men.;Frederick Douglass;Morgan
8�09Magnificent Light;A great deal of talent is lost to the world for want of a little courage.;Sydney Smith;JJ
8�09Magnificent Light;The mystery of human existence lies not in just staying alive, but in finding something to live for.;Fyodor Dostoyevsky;Morgan
8�10 The Lesson;Love is our true destiny. We do not find the meaning of life by ourselves alone. We find it with another.;Thomas Merton;Ried
8�10 The Lesson;Love looks not with the eyes but with the mind.;William Shakespeare;Reid
8�11Perennials;The doctrine of the immortality of the soul has more threat than comfort.;Mason Cooley;Rossi
8�11Perennials;I have never yet heard of a murderer who is not afraid of a ghost.;John Philpot Curran;Reid
8�12 Zugzwang;Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.�;Lao Tzu;Reid
8�13 Magnum Opus;My blood alone remains: take it, but do not make me suffer long.;Marie Antoinette;JJ
8�13 Magnum Opus;Sometimes the hardest part isn't letting go but rather learning to start over.;Nicole Sobon;Reid
8�14 All That Remains;The tragedy of this world is that no one is happy, whether stuck in atime of pain or joy.;Alan Lightman;Hotch
8�14 All That Remains;Love never dies a natural death. It dies of blindness and errors and betrayals. It dies of weariness, of witherings, of tarnishings.�;Ana�s Nin;Hotch
8�15 Broken;The world breaks everyone and afterward many are stronger at the broken places.;Ernest Hemingway;Alex Blake
8�15 Broken;A new command I give you: Love one another. As I have loved you, so you must love one another.;John 13:34;Rossi
8�16 Carbon Copy;Imitation is the sincerest form of flattery.;Charles Caleb Colton;Rossi
8�17 The Gathering;I can resist anything except temptation.;Oscar Wilde;Reid
8�17 The Gathering;All acts performed in the world begin in the imagination.;Barbara Grizzuti Harrison;Reid
8�18 Restoration;For darkness restores what light cannot repair.;Joseph Brodsky.;Morgan
8�18 Restoration;I am dead. Only vengeance can restore me!;Terry Goodkind;Rossi
8�19 Pay It Forward;There is no present or future � only the past, happening over and over again.;Eugene O'Neill;Hotch
8�19 Pay It Forward;A memory is what is left when something happens and does not completely unhappen.;Eugene de Bono;Rossi
8�20 Alchemy;I will not say do not weep, for not all tears are an evil.;J.R.R. Tolkien;Reid
8�20 Alchemy;Dreams are true while they last, and do we not live in dreams?;Alfred Tennyson;Rossi
8�21 Nanny Dearest;Alone, all alone. Nobody, but nobody can make it out here alone.;Maya Angelou;JJ
8�21 Nanny Dearest;Children are educated by what the grown-up is and not by his talk.;Carl Jung;Hotch
8�22 #6 ;We are not the same persons this year as we are last, nor are those we love. It is a happy chance if we, changing, continue to love a changed person.;W. Somerset Maugham;Blake
8�23 Brothers Hotchner;Cruel is the strife of brothers.;Aristotle;Hotch
8�23 Brothers Hotchner;Rarely do members of the same family grow up under the same roof.;Richard Bach;Hotch
8�24 The Replicator;The bond that links your true family is not one of blood, but of respect and joy in each other's life.;Richard Bach;Hotch
8�24 The Replicator;Affliction comes to us, not to make us sad but sober not to make us sorry but wise.;H. G. Wells;Rossi
9�01 The Inspiration;Who knows where inspiration comes from. Perhaps it arises from desperation. Perhaps it comes from the flukes of the universe, the kindness of the muses.;Amy Tan;Rossi
9�01 The Inspiration;There are two things for which we are never really prepared for: twins.;Josh Billings;Hotch
9x02 The Inspired;We are not only our brother�s keeper in countless large and small ways we are our brother�s maker.;Bonaro Overstreet;Morgan
9x02 The Inspired;They mess you up, your Mom and Dad. They may not mean to, but they do. They fill you with the faults they had, and add some extra � just for you.;Philip Larkin;Hotch
9x03 Final Shot;Our most basic common link is that we all inhabit this planet. We all breathe the same air. We all cherish our children�s future. And we are all mortal.;John F. Kennedy;Rossi
9x04 To Bear Witness;Someone I loved once gave me a box full of darkness. It took me years to understand that this too was a gift.;Mary Oliver;Morgan
9x04 To Bear Witness;Death is not the greatest loss in life. The greatest loss is what dies inside of us while we live.;Norman Cousins;Hotch
9x05 Route 66;Life is a dream, realize it.;Mother Teresa;Hotch
9x06 In the Blood;After all, what is every man but a horde of ghosts? Oaks that were acorns that were oaks.;Walter de la Mare;Reid
9x06 In the Blood;Death ends a life, not a relationship.;Mitch Albom;Garcia
9x07 Gatekeeper;If passion drives you, let reason hold the reins.;Benjamin Franklin;Rossi
9x07 Gatekeeper;The most important thing that parents can teach their children is how to get along without them.;Frank Clark;Reid
9x08 The Return;There is no terror in the bang of the gun only the anticipation of it.;Alfred Hitchcock;Morgan
9x08 The Return;The greater the power, the more dangerous the abuse.;Edmund Burke;JJ
9x09 Strange Fruit;The universe doesn't like secrets. It conspires to reveal the truth, to lead you to it.;Lisa Unger;Rossi
9x10 The Caller;Fear is pain arising from the anticipation of evil.;Aristotle;Reid
9x10 The Caller;We cannot despair of humanity, since we ourselves are human beings.;Albert Einstein;Rossi
9x11 Bully;Brothers and sisters are as close as hands and feet.;Vietnamese proverb;Blake
9x11 Bully;Alone, we can do so little. Together we can do so much.;Helen Keller;Blake
9x12 The Black Queen;People often say that this or that person has not yet found himself. But the self is not something one finds it is something one creates.;Thomas Szasz;Morgan
9x12 The Black Queen;To invent your own life's meaning is not easy, but it's still allowed, and I think you'll be happier for the trouble.;Bill Watterson;Garcia
9x13 The Road Home;Beware the fury of a patient man.;John Dryden;Morgan
9x13 The Road Home;Forgiveness does not change the past, but it does enlarge the future.;Paul Boese;Rossi
9x14 200;Why should we look to the past in order to prepare for the future? Because there is nowhere else to look.;James Burke;Prentiss
9x14 200;When you look long into an abyss, the abyss looks into you.;Friedrich Nietzsche;JJ
9x15 Mr. and Mrs. Anderson;Marriage is a mosaic you build with your spouse � millions of tiny moments that create your love story.;Jennifer Smith;Blake
9x15 Mr. and Mrs. Anderson;Each relationship nurtures a strength or weakness within you.;Michael Murdock;Garcia
9x16 Gabby;There is no footprint too small to leave an imprint on this world.;Author Unknown;Hotch
9x16 Gabby;A mother's arms are made of tenderness, and children sleep soundly in them.;Victor Hugo;JJ
9x17 Persuasion;The secret of my influence has always been that it remained secret.;Salvador Dali;Reid
9x17 Persuasion;Illusion is needed to disguise the emptiness within.;Arthur Erickson;Rossi
9x18 Rabid;It is more important to know what sort of person has a disease than to know what sort of disease a person has.;Hippocrates;Reid
9x18 Rabid;True friendship multiplies the good in life and divides its evils.;Baltasar Graci�n;Morgan
9x19 The Edge of Winter;No one is ever a victim, although your conquerors would have you believe in your own victimhood. How else could they conquer you?;Barbara Marciniak;Morgan
9x19 The Edge of Winter;There are times when the mind is dealt such a blow it hides itself in insanity. There are times when reality is nothing but pain, and to escape that pain, the mind must leave reality behind.;Patrick Rothfuss;Morgan
9x20 Blood Relations;The past is never dead. It's not even past.;William Faulkner;Blake
9x21 What Happens in Mecklinberg;In matters of truth and justice, there is no difference between large and small problems, for issues concerning the treatment of people are all the same.;Albert Einstein;Reid
9x22 Fatal;He who is born to be hanged shall never be drowned.;Proverb;Hotch
9x22 Fatal;A person often meets his destiny on the road he took to avoid it.;Jean de la Fontaine;Rossi
9x23 Angels;The name written on her forehead was a mystery: Babylon the Great, the mother of prostitutes and of the abominations of the Earth.;Revelation 17:5;Rossi
9x24 Demons;When truth is buried, it grows. It chokes. It gathers such an explosive force that on the day it bursts out, it blows up everything with it.;�mile Zola;Reid
9x24 Demons;We must be willing to get rid of the life we planned, so as to have the life that is waiting for us.;Joseph Campbell;Reid
10�01X;I remained too much inside my head, and ended up losing my mind.;Edgar Allan Poe;Rossi
10�01X;Just because everything is different doesn't mean anything has changed.;Irene Peter;JJ
10�02Burn;The farther backward you can look, the farther forward you can see.;Winston Churchill;Morgan
10�02Burn;It doesn�t take a lot of strength to hang on. It takes a lot of strength to let go.;J.C. Watts;Garcia
10�03A Thousand Suns;If the radiance of a thousand suns were to burst at once into the sky, that would be like the splendor of the mighty one.;Bhavagad-Gita, the Hindu holy book;Hotch
10�03A Thousand Suns;We knew the world would not be the same. A few people laughed, a few people cried, most people were silent.;J. Robert Oppenheimer;Rossi
10�04The Itch;What's the matter, you dissentious rogues, that rubbing the poor itch of your opinion make yourselves scabs?;William Shakespeare;Hotch
10�04The Itch;Getting rid of a delusion makes us wiser than getting hold of a truth.;Ludwig Borne;JJ
10�05If the Shoe Fits;Deep vengeance is the daughter of deep silence.;Vittorio Alfieri;JJ
10�05If the Shoe Fits;The gift of fantasy has meant more to me than any talent for abstract positive thinking.;Albert Einstein;Reid
10�06Boxed In;There is nothing funny about Halloween. This sarcastic festival reflects, rather, an infernal demand for revenge by children on the adult world.;Jean Baudrillare;Hotch
10�06Boxed In;Always kiss your children good night, even if they're already asleep.;H. Jackson Brown, Jr.;JJ
10�07 Hashtag;Na�vet� in grownups is often charming but when coupled with vanity, it is indistinguishable from stupidity.;Eric Hoffer;Morgan
10�07 Hashtag;There is a fellowship more quiet even than solitude, and which, rightly understood, is solitude made perfect.;Robert Louis Stevenson;Morgan
10�08The Boys of Sudworth Place;How people treat you is their karma how you react is yours.;Wayne Dyer;Reid
10�08The Boys of Sudworth Place;Our moral responsibility is not to stop the future, but to shape it to channel our destiny in humane directions and to ease the trauma of transition.;Alvin Toffler;Morgan
10�09Fate;Change is the law of life, and those who look only to the past or the present are certain to miss the future.;John F. Kennedy;Rossi
10�09Fate;When it comes to life, we spin our own yarn, and where we end up is really, in fact, where we always intended to be.;Julia Glass;Rossi
10�10Amelia Porter;Remove my sin, and I will be clean wash me, and I will be whiter than snow.;Psalm 51;Reid
10�10Amelia Porter;The soul that has conceived one wickedness can nurse no good thereafter.;Sophocles;Kate
10�11The Forever People;Every man has his secret sorrows which the world knows not and often times we call a man cold when he is only sad.;Henry Wadsworth Longfellow;JJ
10�12Anonymous;Death is the only god that comes when you call.;Roger Zelazny;Kate
10�12Anonymous;As life runs on, the road grows strange with faces new � and near the end, the milestones into headstones change, 'neath every one a friend.;James Russell Lowell;Rossi
10�13Nelson's Sparrow;The bitterest tears shed over graves are for words left unsaid and deeds left undone.;Harriet Beecher Stowe;Rossi
10�13Nelson's Sparrow;When a good man is hurt, all who would be called good must suffer with him.;Euripedes;Hotch
10�14Hero Worship;The most heroic word in all languages is revolution.;Eugene Debs;Reid
10�14Hero Worship;True heroism is remarkably sober, very undramatic. It is not the urge to surpass all others at whatever cost, but the urge to serve others at whatever cost.;Arthur Ashe;Reid
10�15Scream;Men often make up in wrath what they want in reason.;William R. Alger;Kate
10�15Scream;Nothing can drive one closer to his own insanity than a haunting memory refusing its own death.;Darnella Ford;Hotch
10�16Lockdown;When the prison doors are opened, the real dragon will fly out.;Ho Chi Minh;Hotch
10�16Lockdown;If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking is freedom.;Dwight D. Eisenhower;Rossi
10�17Breath Play;There is hardly anyone whose sexual life, if it were broadcast, would not fill the world at large with surprise and horror.;W. Somerset Maugham;Rossi
10�17Breath Play;�Children are like wet cement. Whatever falls on them makes an impression.�;Dr. Haim Ginott;Kate
10�18Rock Creek Park;The truth is rarely pure and never simple.;Oscar Wilde;Reid
10�19Beyond Borders;No matter how fast light travels, it finds the darkness is always there first.;Terry Pratchett;Hotch
10�19Beyond Borders;Coming together is a beginning keeping together is progress working together is success.;Henry Ford;Jack Garrett
10�20A Place at the Table;When one has not had a good father, one must create one.;Friedrich Nietzsche;Rossi
10�20A Place at the Table;We are made wise not by the recollection of our past, but by the responsibility for our future.;George Bernard Shaw;Hotch
10�21Mr. Scratch;Your memory is a monster it summons with will of its own. You think you have a memory, but it has you.;John Irving;Hotch
10x22Protection;�It is a man�s own mind, not his enemy or foe, that lures him to evil ways.�;Buddha;Rossi
10x22Protection;�Reality is merely an illusion, albeit a very persistent one.�;Albert Einstein;Reid
10�23The Hunt;The world will not be destroyed by those who do evil, but by those who watch them without doing anything.;Albert Einstein;Kate
10�23The Hunt;Life is about choices. Some we regret, some we're proud of. We are what we chose to be.;Graham Brown;Kate
11�01The Job;Pleasure in the job puts perfection in the work.;Aristotle;Hotch
11�01The Job;Courage is grace under pressure.;Ernest Hemingway;Garcia
11�02The Witness;It is in your moments of decision that your destiny is shaped.;Tony Robbins;Morgan
11�02The Witness;The world is so unpredictable. Things happen suddenly, unexpectedly. We want to feel we are in control of our own existence. In some ways we are, in some ways we're not. We are ruled by the forces of chance and coincidence.;Paul Auster;Rossi
11�03 'Til Death Do Us Part;And think not you can direct the course of love, for love, if it finds you worthy, directs your course.;Khalil Gibran, The Prophet;Tara
11�03 'Til Death Do Us Part;I hold it true, whate'er befall I feel it, when I sorrow most 'Tis better to have loved and lost than never to have loved at all.;Alfred Lord Tennyson;Rossi
11�04Outlaw;All sins tend to be addictive, and the terminal point of addiction is damnation.;W. H. Auden;Reid
11�05The Night Watch;Ghosts were created when the first man awoke in the night.;J. M. Barrie;Reid
11�05The Night Watch;More grows in the garden, than the gardener knows he has planted.;Spanish proverb;Tara
11�06Pariahville;I swear, from the bottom of my heart, I want to be healed. I want to be like other men, not this outcast who nobody wants.;E. M. Forster;Morgan
11�06Pariahville;To remain indifferent to the challenges we face is indefensible. If the goal is noble, whether or not it is realized within our lifetime is largely irrelevant. What we must do, therefore, is to strive, and persevere, and never give up.;Dalai Lama XIV;Tara
11�07Target Rich;We are all sharks, circling, and waiting for traces of blood to appear in the water.;Alan Clark;Hotch
11�07Target Rich;To a father, nothing is dearer than a daughter.;Euripedes;Rossi
11�08Awake;You can chain me, you can torture me, you can even destroy this body, but you will never imprison my mind.;Mahatma Gandhi;JJ
11�08Awake;Guilt is perhaps the most painful companion of death.;Coco Chanel;Tara
11�09Internal Affairs;The enemy is within the gates. It is with our own luxury, our own folly, our own criminality, that we have to contend.;Marcus Tullius Cicero;Hotch
11x10Future Perfect;The clock tocked loud. I threw it away. It scared me when it tocked.;Tillie Olsen;Hotch
11x10Future Perfect;The first condition of immortality is death.;Stanislaw Lec;Hotch
11x11Entropy;Just as the constant increase of entropy is the basic law of the universe, so it is the basic law of life to struggle against entropy.;Vaclav Havel;Reid
11x12Drive;To educate a person in the mind but not in morals is to educate a menace to society.;Theodore Roosevelt;Reid
11x12Drive;A man's very highest moment is, I have no doubt at all, when he kneels in the dust and beats his breast, and tells all the sins of his life.;Oscar Wilde;Hotch
11�13The Bond;The heart of a mother is a deep abyss, at the bottom of which you will always find forgiveness.;Honor� de Balzac;Hotch
11�13The Bond;The influence of a mother in the lives of her children is beyond calculation.;James E. Faust;Tara
11�14Hostage;By the will art thou lost, by the will art thou found, by the will art thou free, captive, and bound.;Angelus Silesius;Rossi
11�14Hostage;Revenge is an act of passion vengeance of justice.;Samuel Johnson;Hotch
11�15A Badge and a Gun;The darkness always lies.;Anthony Liccione;Morgan
11�15A Badge and a Gun;You see what power is � holding someone else's fear in your hand and showing it to them.;Amy Tan;JJ
11�17The Sandman;Parents are the bones on which children sharpen their teeth.;Peter Ustinov;Morgan
11�17The Sandman;Lucky I'm sane after all I've been through. Life's been good to me so far.;Joe Walsh;Morgan
11�18 A Beautiful Disaster;As a good friend of mine said, Every ending is also a beginning. We just don't know it at the time. I'd like to believe she's right.;Derek Morgan;Morgan
11�19Tribute;Originality is nothing but judicious imitation.;Voltaire;Prentiss
11�19Tribute;Walking with a friend in the dark is better than walking alone in the light.;Helen Keller;Garcia
11�20Inner Beauty;I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will be forced to deal with pain.;James Baldwin;Rossi
11�20Inner Beauty;Since love grows within you, so beauty grows. For love is the beauty of the soul.;St. Augustine;Rossi
11�21Devil's Backbone;Don't you know that a midnight hour comes when everyone has to take off his mask?;S�ren Kierkegaard;Hotch
11�21Devil's Backbone;No man really knows about other human beings. The best he can do is to suppose that they are like himself.;John Steinbeck;Lewis
11�22The Storm;The sea is dangerous and its storms terrible, but these obstacles have never been sufficient reason to remain ashore.;Ferdinand Magellan;Lewis
11�22The Storm;The line dividing good and evil comes through the heart of every human being.;Aleksandr Solzhenitsyn;Hotch
13�01 Wheels Up;Hold on when there is nothing in you except the will which says, 'Hold on!';Rudyard Kipling;Spencer Reid
13�02 To a Better Place;I believe that the only way to reform people is to kill them.;Carl Panzram ;Emily Prentiss
13�02 To a Better Place;You can't connect the dots looking forward. You can only connect them looking backwards. So you have to trust that they will somehow connect in your future.;Steve Jobs;Spencer Reid
13�03Blue Angel ;Cruelty, like every other vice, requires no motive outside of itself. It only requires opportunity.;George Eliot;Emily Prentiss
13�03Blue Angel;A man travels the world over in search of what he needs and returns home to find it.;George Moore;Matt Simmons
13�04Killer App;It is unwise to be too sure of one's own wisdom.;Mahatma Ghandhi;Luke Alvez
13�04Killer App;The murderer survives the victim only to learn that it was himself that he longed to be rid of.;Thornton Wilder;Emily Prentiss
13x05Lucky Strikes;I like to turn things upside down, to watch pictures and situations from another perspective.;Ursus Wehrli;Penelope Garcia
13x05Lucky Strikes;People like to say that the conflict is between good and evil. The real conflict is between truth and lies.;Don Miguel Ruiz;David Rossi
13�06The Bunker;This is the way the world ends. Not with a bang, but a whimper.;T.S. Eliot;Spencer Reid
13�06The Bunker;Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.;Martin Luther;Jennifer Jareau
13�07Dust and Bones;When there is pain, there are no words. All pain is the same.;Toni Morrison;Emily Prentiss
13�07Dust and Bones;Remember, we are our own griefs, my dear, we are our own happiness and we are our own remedies. ;Huseyn Raza;Luke Alvez
13x08Neon Terror;The spectacle is capital accumulated to the point where it becomes image.;Guy Debord;Emily Prentiss
13x08Neon Terror;I never travel without my diary. One should always have something sensational to read in the train. ;Oscar Wilde ;David Rossi
13�09 False Flag;When you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.;Sir Arthur Conan Doyle;Penelope Garcia
13�09 False Flag;Everyone is entitled to his own opinion, but not to his own facts.;Daniel Patrick Moynihan;Dr. Tara Lewis
13�10 Submerged;Do not speak of evil, for it creates curiosity in the heart of the young.;Nakota proverb;Matt Simmons
13�10 Submerged;Where there is ruin, there is hope for a treasure.;Jalal Uddin Rumi;David Rossi
13�11Full-Tilt-Boogie;My dark secrets are life threatening. Pockets of unhappiness set in aspic that build and build.;Sue Townshend;Emily Prentiss
13�11Full-Tilt-Boogie;I think it's the human spirit inside all of us that gives us an enormous capacity to survive.;Amanda Lindhout;Penelope Garcia
13�12Bad Moon on the Rise;It is the very error of the moon. She comes more nearer earth than she was wont, And makes men mad.;William Shakespeare;Dr. Tara Lewis
13�12Bad Moon on the Rise;Even a man who is pure in heart and says his prayers by night may become a wolf when the wolfbane blooms and the moon is full and bright.;Curt Siodmak;Luke Alvez
13�13Cure ;It is impossible to suffer without making someone pay for it every complaint already contains revenge.;Friedrich Nietzsche;Spencer Reid
13�14Miasma ;My wound is geography. It is also my anchorage, my port of call.;Pat Conroy;Emily Prentiss
13�14Miasma;All of us labor in webs spun long before we were born.;William Faulkner;Jennifer Jareau
13�15 Annihilator ;Family quarrels are bitter things. They don't go according to any rules. They're not like aches or wounds, they're more like splits in the skin that won't heal because there's not enough material.;F. Scott Fitzgerald;Emily Prentiss
13�16 Last Gasp ;Death is the mother of beauty hence from her, alone, shall come fulfillment to our dreams and our desires.;Wallace Stevens;Jennifer Jareau
13�17 The Capilanos ;Masks are wonderfully paradoxical in this way: while they may hide the physical reality, they can show us how a person wants to be seen.;Joanna Scott;Spencer Reid
13�17 The Capilanos;It lies not in our power to love or hate, For will in us is overruled by fate.;Christopher Marlowe;Spencer Reid
13�18 The Dance of Love ;Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.;Sylvia Plath;Dr. Tara Lewis
13�18 The Dance of Love ;No matter how far we travel, the memories will follow in the baggage car.;August Strindberg;David Rossi
13�19 Ex Parte ;Violence is not a catalyst but a diversion.;Joseph Conrad;Emily Prentiss
13�19 Ex Parte ;Do not boast about tomorrow, for you do not know what a day may bring.;Bible proverb;Matt Simmons
13�20 All You Can Eat ;Holding onto anger is like drinking poison and expecting the other person to die.;Anonymous;Emily Prentiss
13�20 All You Can Eat ;Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.;Mark Twain;Penelope Garcia
13�21 Mixed Signals ;Convictions are more dangerous foes of truth than lies.;Friedrich Nietzsche;Luke Alvez
